Nombre,Precio,Detalles
"114. Tequeños de queso", 6.00, "Cantidad: 6 unidades"
"115. Calamares", 9.00, "Ingredientes: "
"116. Pollo en salsa de champiñones", 6.50, "Ingredientes: "
"117. Oreja", 7.00, "Ingredientes: "
"118. Zamburiñas", 13.00, "Ingredientes: "
"119. Zorza", 6.00, "Ingredientes: "
"120. Langostinos a la plancha", 13.00, "Ingredientes: "
"121. Pavías", 6.00, "Cantidad: 4 unidades"
"122. Nuggets de pollo", 5.00, "Cantidad: 6 unidades"
"123. Croquetas de huevo y chorizo", 5.00, "Cantidad: 6 unidades"
"124. Croquetas de jamón", 5.00, "Cantidad: 6 unidades"
"125. Croquetas de choco en su tinta", 6.00, "Cantidad: 6 unidades"
"126. Pizza empanadilla", 6.00, "Cantidad: 6 unidades"
